# Pathway lesson inventory by nursing tier (RN / PN·RPN / NP)
# Generated from getEffectiveCatalogLessonsForPathwaySync — same bundle + filters as public lesson hubs.
# Columns: topicSlug | bodySystem | slug | title | audienceTiers (if any)

========== RN ==========

--- ca-rn-nclex-rn (NCLEX-RN) — 146 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, Canada)
pharmacology | Pharmacology | antihypertensive-combos | Antihypertensive Combos (NCLEX-RN, Canada)
pharmacology | Pharmacology | cardiac-glycosides-toxicity | Cardiac Glycosides & Toxicity (NCLEX-RN, Canada)
pharmacology | Pharmacology | chemo-safe-handling-extravasation | Chemo Safe Handling & Extravasation (NCLEX-RN, Canada)
pharmacology | Pharmacology | insulin-hypoglycemia-hy | Insulin & Hypoglycemia (NCLEX-RN, Canada)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid toxicity & naloxone safety (NCLEX-RN, Canada)
pharmacology | Pharmacology | opioids-respiratory-depression | Opioids & Respiratory Depression (NCLEX-RN, Canada)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia (CAP): nursing priorities (NCLEX-RN, Canada)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Prioritization under uncertainty (NCLEX-RN, Canada)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment: prioritization (NCLEX-RN, Canada)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Patient assignment & acuity (NCLEX-RN, Canada)
renal-gu | Renal | acute-kidney-injury-nursing-gold | Acute kidney injury: nursing surveillance (NCLEX-RN, Canada)
renal-gu | Renal | aki-prerenal-vs-intrarenal | AKI: Prerenal vs Intrarenal (NCLEX-RN, Canada)
renal-gu | Renal | hemodialysis-access-care | Hemodialysis Access Care (NCLEX-RN, Canada)
renal-gu | Renal | indwelling-catheter-risks | Indwelling Catheter Risks (NCLEX-RN, Canada)
renal-gu | Renal | kidney-stones-strain-management | Kidney Stones & Strain Management (NCLEX-RN, Canada)
renal-gu | Renal | peritoneal-dialysis-complications | Peritoneal Dialysis Complications (NCLEX-RN, Canada)
renal-gu | Renal | uti-vs-pyelonephritis | UTI vs Pyelonephritis (NCLEX-RN, Canada)
respiratory | Respiratory | abg-interpretation-basics-hy | ABG Interpretation Basics (NCLEX-RN, Canada)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS & acute respiratory failure (NCLEX-RN, Canada)
respiratory | Respiratory | ards-ventilation-basics | ARDS & Ventilation Basics (NCLEX-RN, Canada)
respiratory | Respiratory | asthma-status-asthmaticus | Asthma & Status Asthmaticus (NCLEX-RN, Canada)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study (NCLEX-RN, Canada)
respiratory | Respiratory | copd-exacerbation-oxygen | COPD Exacerbation & Oxygen (NCLEX-RN, Canada)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory medications (NCLEX-RN, Canada)
respiratory | Respiratory | pleural-effusion-chest-tubes | Pleural Effusion & Chest Tubes (NCLEX-RN, Canada)
respiratory | Respiratory | pneumonia-oxygenation | Pneumonia & Oxygenation (NCLEX-RN, Canada)
respiratory | Respiratory | pulmonary-embolism-clues | Pulmonary Embolism Clues (NCLEX-RN, Canada)
respiratory | Respiratory | tb-isolation-compliance | TB Isolation & Compliance (NCLEX-RN, Canada)
safety | General | falls-hourly-rounding | Falls & Hourly Rounding (NCLEX-RN, Canada)
safety | Safety / mobility | falls-injury-prevention-gold | Falls & injury prevention (NCLEX-RN, Canada)
safety | General | medication-error-disclosure | Medication Error Disclosure (NCLEX-RN, Canada)
safety | General | restraint-alternatives-policy | Restraint Alternatives & Policy (NCLEX-RN, Canada)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation & when to notify (NCLEX-RN, Canada)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls prevention & safety (NCLEX-RN, Canada)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints & least-restrictive alternatives (NCLEX-RN, Canada)
safety | General | sharp-safety-exposure | Sharp Safety & Exposure (NCLEX-RN, Canada)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study: rapid response (NCLEX-RN, Canada)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis: recognition & nursing response (NCLEX-RN, Canada)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency response medications (NCLEX-RN, Canada)
shock | Cardiovascular | shock-emergencies-gold | Shock resuscitation (NCLEX-RN, Canada)
wounds | Integumentary | ca-rn-wound-care | Wound care (NCLEX-RN, Canada)

--- us-rn-nclex-rn (NCLEX-RN) — 80 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, US)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulants — monitoring & safety (NCLEX-RN, US)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | ACS & chest pain: RN management (NCLEX-RN, US)
cardiovascular | Cardiovascular | acute-myocardial-infarction-troponin | Acute Myocardial Infarction & Troponin (NCLEX-RN, US)
cardiovascular | Cardiovascular | atrial-fibrillation-rate-control | Atrial Fibrillation & Rate Control (NCLEX-RN, US)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | Atrial fibrillation: stroke prevention (NCLEX-RN, US)
cardiovascular | Cardiovascular | cabg-and-postoperative-cabg-complications-nclex-rn | CABG and Postoperative CABG Complications (NCLEX-RN, US)
cardiovascular | Cardiovascular | cardiac-tamponade-nclex-rn | Cardiac Tamponade (NCLEX-RN, US)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study: chest pain triage (NCLEX-RN, US)
cardiovascular | Cardiovascular | dvt-pe-nursing-priorities | DVT & PE Nursing Priorities (NCLEX-RN, US)
cardiovascular | Cardiovascular | endocarditis-blood-cultures | Endocarditis & Blood Cultures (NCLEX-RN, US)
cardiovascular | Cardiovascular | heart-failure-nursing-priorities-hy | Heart Failure Nursing Priorities (NCLEX-RN, US)
cardiovascular | Cardiovascular | hypertensive-crisis-vs-urgency | Hypertensive Crisis vs Urgency (NCLEX-RN, US)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac medications (ischemia & rhythm) (NCLEX-RN, US)
cardiovascular | Cardiovascular | pericarditis-ecg-clues | Pericarditis & ECG Clues (NCLEX-RN, US)
cardiovascular | Cardiovascular | phlebostatic-axis-nclex-rn | Phlebostatic Axis (NCLEX-RN, US)
cardiovascular | Cardiovascular | pulmonary-embolism-nclex-rn | Pulmonary Embolism (NCLEX-RN, US)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | Pulmonary embolism: recognition (NCLEX-RN, US)
cardiovascular | Cardiovascular | shock-recognition-fluids | Shock Recognition & Fluids (NCLEX-RN, US)
copd | Respiratory | copd-clinical-judgment-gold | COPD: clinical judgment (NCLEX-RN, US)
delegation | General | canadian-rpn-scope-collaboration-gold | Supervising practical nurses: delegation & safety (NCLEX-RN, US)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation & supervision (NCLEX-RN, US)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Insulin & diabetes medications (NCLEX-RN, US)
endocrine | Endocrine | addisonian-crisis | Addisonian Crisis (NCLEX-RN, US)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal crisis (Addisonian) (NCLEX-RN, US)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study (NCLEX-RN, US)
endocrine | Endocrine | cushing-syndrome-assessment | Cushing Syndrome Assessment (NCLEX-RN, US)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS: clinical judgment (NCLEX-RN, US)
endocrine | Endocrine | dka-vs-hhs-priorities-hy | DKA vs HHS Priorities (NCLEX-RN, US)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm: emergency recognition (NCLEX-RN, US)
fluids-electrolytes | Renal | calcium-tetany | Calcium & Tetany (NCLEX-RN, US)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study (NCLEX-RN, US)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte & fluid crises: RN judgment (NCLEX-RN, US)
gastrointestinal | Gastrointestinal | acute-pancreatitis-nursing-care | Acute Pancreatitis Nursing Care (NCLEX-RN, US)
gastrointestinal | Gastrointestinal | bowel-obstruction-vs-paralytic-ileus | Bowel Obstruction vs Paralytic Ileus (NCLEX-RN, US)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed: priorities (NCLEX-RN, US)
hematology | Hematologic | anemia-types-transfusion-thresholds | Anemia Types & Transfusion Thresholds (NCLEX-RN, US)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Antihypertensives (NCLEX-RN, US)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection control & standard precautions (NCLEX-RN, US)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation & transmission precautions (NCLEX-RN, US)
integumentary | Integumentary | burn-depth-fluid-resuscitation-basics | Burn Depth & Fluid Resuscitation Basics (NCLEX-RN, US)
leadership | General | assignment-vs-delegation | Assignment vs Delegation (NCLEX-RN, US)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study (NCLEX-RN, US)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: nursing management (NCLEX-RN, US)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Medication administration & error prevention (NCLEX-RN, US)
mental-health | Mental Health | alcohol-withdrawal-ciwa | Alcohol Withdrawal CIWA (NCLEX-RN, US)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health & safety case study (NCLEX-RN, US)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropic medications (NCLEX-RN, US)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium: acute confusion & safety (NCLEX-RN, US)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis: emergency recognition (NCLEX-RN, US)
neurological | Neurological | stroke-increased-icp-gold | Stroke & elevated ICP: RN acute care (NCLEX-RN, US)
nutrition | Gastrointestinal | enteral-feeding-tube-safety | Enteral Feeding Tube Safety (NCLEX-RN, US)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation medications (NCLEX-RN, US)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever / dehydration case study (NCLEX-RN, US)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid toxicity & naloxone safety (NCLEX-RN, US)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia (CAP): nursing priorities (NCLEX-RN, US)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Prioritization under uncertainty (NCLEX-RN, US)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment: prioritization (NCLEX-RN, US)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Patient assignment & acuity (NCLEX-RN, US)
renal-gu | Renal | acute-kidney-injury-nursing-gold | Acute kidney injury: nursing surveillance (NCLEX-RN, US)
renal-gu | Renal | aki-prerenal-vs-intrarenal | AKI: Prerenal vs Intrarenal (NCLEX-RN, US)
respiratory | Respiratory | abg-interpretation-basics-hy | ABG Interpretation Basics (NCLEX-RN, US)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS & acute respiratory failure (NCLEX-RN, US)
respiratory | Respiratory | ards-ventilation-basics | ARDS & Ventilation Basics (NCLEX-RN, US)
respiratory | Respiratory | asthma-status-asthmaticus | Asthma & Status Asthmaticus (NCLEX-RN, US)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study (NCLEX-RN, US)
respiratory | Respiratory | copd-exacerbation-oxygen | COPD Exacerbation & Oxygen (NCLEX-RN, US)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory medications (NCLEX-RN, US)
respiratory | Respiratory | pneumonia-oxygenation | Pneumonia & Oxygenation (NCLEX-RN, US)
respiratory | Respiratory | pulmonary-embolism-clues | Pulmonary Embolism Clues (NCLEX-RN, US)
respiratory | Respiratory | respiratory-assessment-ngn | Respiratory assessment & oxygenation (NCLEX-RN, US)
safety | Safety / mobility | falls-injury-prevention-gold | Falls & injury prevention (NCLEX-RN, US)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation & when to notify (NCLEX-RN, US)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls prevention & safety (NCLEX-RN, US)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints & least-restrictive alternatives (NCLEX-RN, US)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study: rapid response (NCLEX-RN, US)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis: recognition & first-line nursing response (NCLEX-RN, US)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency response medications (NCLEX-RN, US)
shock | Cardiovascular | shock-emergencies-gold | Shock resuscitation: RN acute management (NCLEX-RN, US)
wounds | Integumentary | us-rn-wound-care | Wound care (NCLEX-RN, US)

========== PN/RPN ==========

--- ca-rpn-rex-pn (REx-PN) — 86 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (REx-PN, Canada)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulants — monitoring & safety (REx-PN, Canada)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain & ACS cues (REx-PN, Canada)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | Atrial fibrillation: stroke prevention (REx-PN, Canada)
cardiovascular | Cardiovascular | bp26-carpn-pa-afib-rate | Atrial fibrillation: rate vs rhythm focus — REx-PN (Canada)
cardiovascular | Cardiovascular | bp26-carpn-x001-stemi-vs-nstemi-first-nursing-moves | STEMI vs NSTEMI: first nursing moves — REx-PN (Canada)
cardiovascular | Cardiovascular | bp26-carpn-x002-angina-vs-infarction-data-that-changes-r | Angina vs infarction: data that changes risk — REx-PN (Canada)
cardiovascular | Cardiovascular | bp26-carpn-x003-heart-failure-discharge-teaching | Heart failure discharge teaching — REx-PN (Canada)
cardiovascular | Cardiovascular | bp26-carpn-x004-pacemaker-site-monitoring | Pacemaker site monitoring — REx-PN (Canada)
cardiovascular | Cardiovascular | bp26-carpn-x005-cardiac-catheterization-post-procedure-c | Cardiac catheterization post-procedure care — REx-PN (Canada)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study: chest pain triage (REx-PN, Canada)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac medications (ischemia & rhythm) (REx-PN, Canada)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | Pulmonary embolism: recognition (REx-PN, Canada)
copd | Respiratory | copd-clinical-judgment-gold | COPD: clinical judgment (REx-PN, Canada)
delegation | General | bp26-carpn-mo-legal-scope | Scope of practice & unsafe orders — REx-PN (Canada)
delegation | General | canadian-rpn-scope-collaboration-gold | REx-PN high yield: scope, meds & collaboration (Canada)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation & supervision (REx-PN, Canada)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Insulin & diabetes medications (REx-PN, Canada)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal crisis (Addisonian) (REx-PN, Canada)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study (REx-PN, Canada)
