title,slug,primary_keyword,search_intent,country,tier,category_cluster,suggested_internal_links
"Why COPD patients retain CO2 and what it means for oxygen NCLEX?","why-copd-patients-retain-co2-and-what-it-means-for-oxygen-nclex","Why COPD patients retain CO2 and what it means for oxygen NCLEX",exam-prep,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How asthma bronchospasm differs from emphysema destruction pattern?","how-asthma-bronchospasm-differs-from-emphysema-destruction-pattern-2","How asthma bronchospasm differs from emphysema destruction pattern",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes Kussmaul breathing in metabolic acidosis?","what-causes-kussmaul-breathing-in-metabolic-acidosis-3","What causes Kussmaul breathing in metabolic acidosis",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX priority for tension pneumothorax before imaging?","nclex-priority-for-tension-pneumothorax-before-imaging-4","NCLEX priority for tension pneumothorax before imaging",exam-prep,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why pulmonary embolism causes sudden hypoxia without wheeze?","why-pulmonary-embolism-causes-sudden-hypoxia-without-wheeze-5","Why pulmonary embolism causes sudden hypoxia without wheeze",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How VQ mismatch explains refractory hypoxemia basics?","how-vq-mismatch-explains-refractory-hypoxemia-basics-6","How VQ mismatch explains refractory hypoxemia basics",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes pleuritic chest pain in pneumonia vs PE?","what-causes-pleuritic-chest-pain-in-pneumonia-vs-pe-7","What causes pleuritic chest pain in pneumonia vs PE",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why high-flow nasal cannula helps work of breathing?","why-high-flow-nasal-cannula-helps-work-of-breathing-8","Why high-flow nasal cannula helps work of breathing",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How alveolar collapse leads to atelectasis on auscultation?","how-alveolar-collapse-leads-to-atelectasis-on-auscultation-9","How alveolar collapse leads to atelectasis on auscultation",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between restrictive and obstructive patterns quick check?","difference-between-restrictive-and-obstructive-patterns-quick-check-10","Difference between restrictive and obstructive patterns quick check",informational,Global,RN,"respiratory-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why hyperkalemia peaks T waves on ECG pathophysiology?","why-hyperkalemia-peaks-t-waves-on-ecg-pathophysiology","Why hyperkalemia peaks T waves on ECG pathophysiology",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How loop diuretics cause hypokalemia and what to monitor?","how-loop-diuretics-cause-hypokalemia-and-what-to-monitor-2","How loop diuretics cause hypokalemia and what to monitor",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX first action symptomatic hyperkalemia with peaked T waves?","nclex-first-action-symptomatic-hyperkalemia-with-peaked-t-waves-3","NCLEX first action symptomatic hyperkalemia with peaked T waves",exam-prep,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes metabolic alkalosis from vomiting chloride loss?","what-causes-metabolic-alkalosis-from-vomiting-chloride-loss-4","What causes metabolic alkalosis from vomiting chloride loss",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why ARF oliguria raises creatinine faster than you expect?","why-arf-oliguria-raises-creatinine-faster-than-you-expect-5","Why ARF oliguria raises creatinine faster than you expect",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How SIADH dilutes sodium and why fluid restriction helps?","how-siadh-dilutes-sodium-and-why-fluid-restriction-helps-6","How SIADH dilutes sodium and why fluid restriction helps",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between prerenal vs intrarenal AKI clues at bedside?","difference-between-prerenal-vs-intrarenal-aki-clues-at-bedside-7","Difference between prerenal vs intrarenal AKI clues at bedside",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why nephrotoxic drugs matter more when elderly or dehydrated?","why-nephrotoxic-drugs-matter-more-when-elderly-or-dehydrated-8","Why nephrotoxic drugs matter more when elderly or dehydrated",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes phosphate rise in acute kidney injury?","what-causes-phosphate-rise-in-acute-kidney-injury-9","What causes phosphate rise in acute kidney injury",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How bicarbonate shifts in DKA during treatment nursing watch?","how-bicarbonate-shifts-in-dka-during-treatment-nursing-watch-10","How bicarbonate shifts in DKA during treatment nursing watch",informational,Global,RN,"renal-electrolyte-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why DKA smells fruity and why K can fall during insulin therapy?","why-dka-smells-fruity-and-why-k-can-fall-during-insulin-therapy","Why DKA smells fruity and why K can fall during insulin therapy",exam-prep,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How thyroid storm differs from uncomplicated hyperthyroidism NCLEX?","how-thyroid-storm-differs-from-uncomplicated-hyperthyroidism-nclex-2","How thyroid storm differs from uncomplicated hyperthyroidism NCLEX",exam-prep,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes myxedema coma cold intolerance and hypotension?","what-causes-myxedema-coma-cold-intolerance-and-hypotension-3","What causes myxedema coma cold intolerance and hypotension",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why cortisol excess raises glucose and infection risk?","why-cortisol-excess-raises-glucose-and-infection-risk-4","Why cortisol excess raises glucose and infection risk",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX pitfall hypoglycemia unconscious patient first step?","nclex-pitfall-hypoglycemia-unconscious-patient-first-step-5","NCLEX pitfall hypoglycemia unconscious patient first step",exam-prep,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How insulin resistance progresses before type 2 diabetes peaks?","how-insulin-resistance-progresses-before-type-2-diabetes-peaks-6","How insulin resistance progresses before type 2 diabetes peaks",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes dawn phenomenon vs Somogyi nursing differentiation?","what-causes-dawn-phenomenon-vs-somogyi-nursing-differentiation-7","What causes dawn phenomenon vs Somogyi nursing differentiation",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why glucagon raises blood sugar when no carbs are eaten?","why-glucagon-raises-blood-sugar-when-no-carbs-are-eaten-8","Why glucagon raises blood sugar when no carbs are eaten",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How SIADH vs diabetes insipidus sodium trends differ?","how-siadh-vs-diabetes-insipidus-sodium-trends-differ-9","How SIADH vs diabetes insipidus sodium trends differ",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes thyroid hormone spikes after iodine contrast worry?","what-causes-thyroid-hormone-spikes-after-iodine-contrast-worry-10","What causes thyroid hormone spikes after iodine contrast worry",informational,Global,RN,"endocrine-metabolic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why portal hypertension causes esophageal varices bleeding risk?","why-portal-hypertension-causes-esophageal-varices-bleeding-risk","Why portal hypertension causes esophageal varices bleeding risk",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How hepatitis inflammation raises ALT patterns nursing notes?","how-hepatitis-inflammation-raises-alt-patterns-nursing-notes-2","How hepatitis inflammation raises ALT patterns nursing notes",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX priority acute upper GI bleed stable airway assessment?","nclex-priority-acute-upper-gi-bleed-stable-airway-assessment-3","NCLEX priority acute upper GI bleed stable airway assessment",exam-prep,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes paralytic ileus after major surgery?","what-causes-paralytic-ileus-after-major-surgery-4","What causes paralytic ileus after major surgery",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why pancreatitis pain radiates to the back pathophysiology?","why-pancreatitis-pain-radiates-to-the-back-pathophysiology-5","Why pancreatitis pain radiates to the back pathophysiology",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How lactulose helps hepatic encephalopathy mechanism?","how-lactulose-helps-hepatic-encephalopathy-mechanism-6","How lactulose helps hepatic encephalopathy mechanism",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes C diff watery diarrhea after antibiotics?","what-causes-c-diff-watery-diarrhea-after-antibiotics-7","What causes C diff watery diarrhea after antibiotics",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why bowel sounds hyperactive early obstruction then quiet?","why-bowel-sounds-hyperactive-early-obstruction-then-quiet-8","Why bowel sounds hyperactive early obstruction then quiet",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How ascites forms in cirrhosis sodium avidity loop?","how-ascites-forms-in-cirrhosis-sodium-avidity-loop-9","How ascites forms in cirrhosis sodium avidity loop",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between small bowel vs large bowel obstruction cues?","difference-between-small-bowel-vs-large-bowel-obstruction-cues-10","Difference between small bowel vs large bowel obstruction cues",informational,Global,RN,"gi-hepatic-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why stroke symptoms depend on artery territory NCLEX map?","why-stroke-symptoms-depend-on-artery-territory-nclex-map","Why stroke symptoms depend on artery territory NCLEX map",exam-prep,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How increased ICP causes Cushing triad late signs?","how-increased-icp-causes-cushing-triad-late-signs-2","How increased ICP causes Cushing triad late signs",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes pinpoint pupils in opioid toxicity vs blown pupil?","what-causes-pinpoint-pupils-in-opioid-toxicity-vs-blown-pupil-3","What causes pinpoint pupils in opioid toxicity vs blown pupil",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX seizure precautions suction and timing priorities?","nclex-seizure-precautions-suction-and-timing-priorities-4","NCLEX seizure precautions suction and timing priorities",exam-prep,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why TIAs resolve but still need urgent workup?","why-tias-resolve-but-still-need-urgent-workup-5","Why TIAs resolve but still need urgent workup",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How MS plaques disrupt myelination and cause relapses?","how-ms-plaques-disrupt-myelination-and-cause-relapses-6","How MS plaques disrupt myelination and cause relapses",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes neurogenic shock in spinal cord injury pattern?","what-causes-neurogenic-shock-in-spinal-cord-injury-pattern-7","What causes neurogenic shock in spinal cord injury pattern",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why nimodipine matters after subarachnoid hemorrhage?","why-nimodipine-matters-after-subarachnoid-hemorrhage-8","Why nimodipine matters after subarachnoid hemorrhage",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How Parkinson dopamine depletion explains rigidity and mask?","how-parkinson-dopamine-depletion-explains-rigidity-and-mask-9","How Parkinson dopamine depletion explains rigidity and mask",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between generalized vs focal seizure recognition?","difference-between-generalized-vs-focal-seizure-recognition-10","Difference between generalized vs focal seizure recognition",informational,Global,RN,"neuro-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why sepsis causes refractory hypotension distributive shock?","why-sepsis-causes-refractory-hypotension-distributive-shock","Why sepsis causes refractory hypotension distributive shock",exam-prep,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How SIRS criteria differ from qSOFA at bedside practicality?","how-sirs-criteria-differ-from-qsofa-at-bedside-practicality-2","How SIRS criteria differ from qSOFA at bedside practicality",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX lactate trend in sepsis resuscitation why it matters?","nclex-lactate-trend-in-sepsis-resuscitation-why-it-matters-3","NCLEX lactate trend in sepsis resuscitation why it matters",exam-prep,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes warm vs cold shock presentation pediatric vs adult?","what-causes-warm-vs-cold-shock-presentation-pediatric-vs-adult-4","What causes warm vs cold shock presentation pediatric vs adult",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why source control timing matters in abscess and line infection?","why-source-control-timing-matters-in-abscess-and-line-infection-5","Why source control timing matters in abscess and line infection",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How endotoxin triggers cytokine storm simplified nursing lens?","how-endotoxin-triggers-cytokine-storm-simplified-nursing-lens-6","How endotoxin triggers cytokine storm simplified nursing lens",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes meningitis triad exceptions in older adults?","what-causes-meningitis-triad-exceptions-in-older-adults-7","What causes meningitis triad exceptions in older adults",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why neutropenic fever needs rapid cultures before delays?","why-neutropenic-fever-needs-rapid-cultures-before-delays-8","Why neutropenic fever needs rapid cultures before delays",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How biofilms protect catheter UTIs from antibiotics?","how-biofilms-protect-catheter-utis-from-antibiotics-9","How biofilms protect catheter UTIs from antibiotics",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between colonization and infection in cultures?","difference-between-colonization-and-infection-in-cultures-10","Difference between colonization and infection in cultures",informational,Global,RN,"infection-sepsis-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why anemia of chronic disease shows low iron with high ferritin?","why-anemia-of-chronic-disease-shows-low-iron-with-high-ferritin","Why anemia of chronic disease shows low iron with high ferritin",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How anticoagulants shift bleeding risk vs clot prevention NCLEX?","how-anticoagulants-shift-bleeding-risk-vs-clot-prevention-nclex-2","How anticoagulants shift bleeding risk vs clot prevention NCLEX",exam-prep,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes tumor lysis syndrome electrolyte bombs?","what-causes-tumor-lysis-syndrome-electrolyte-bombs-3","What causes tumor lysis syndrome electrolyte bombs",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX priority low platelets with head injury bleeding watch?","nclex-priority-low-platelets-with-head-injury-bleeding-watch-4","NCLEX priority low platelets with head injury bleeding watch",exam-prep,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why neutropenic precautions isolate vulnerable patients?","why-neutropenic-precautions-isolate-vulnerable-patients-5","Why neutropenic precautions isolate vulnerable patients",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How hemolysis raises indirect bilirubin pattern?","how-hemolysis-raises-indirect-bilirubin-pattern-6","How hemolysis raises indirect bilirubin pattern",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes sickle pain crisis vaso-occlusion triggers?","what-causes-sickle-pain-crisis-vaso-occlusion-triggers-7","What causes sickle pain crisis vaso-occlusion triggers",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why heparin-induced thrombocytopenia is an immune paradox?","why-heparin-induced-thrombocytopenia-is-an-immune-paradox-8","Why heparin-induced thrombocytopenia is an immune paradox",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How radiation mucositis changes nutrition and infection risk?","how-radiation-mucositis-changes-nutrition-and-infection-risk-9","How radiation mucositis changes nutrition and infection risk",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between iron deficiency vs B12 deficiency smears hinted?","difference-between-iron-deficiency-vs-b12-deficiency-smears-hinted-10","Difference between iron deficiency vs B12 deficiency smears hinted",informational,Global,RN,"hematology-oncology-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why anaphylaxis needs epinephrine first not steroids delayed?","why-anaphylaxis-needs-epinephrine-first-not-steroids-delayed","Why anaphylaxis needs epinephrine first not steroids delayed",exam-prep,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How NSAIDs blunt inflammation but stress kidneys when dehydrated?","how-nsaids-blunt-inflammation-but-stress-kidneys-when-dehydrated-2","How NSAIDs blunt inflammation but stress kidneys when dehydrated",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes lupus flare photosensitivity and joint swelling?","what-causes-lupus-flare-photosensitivity-and-joint-swelling-3","What causes lupus flare photosensitivity and joint swelling",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX angioedema ACE inhibitor urgent airway worry?","nclex-angioedema-ace-inhibitor-urgent-airway-worry-4","NCLEX angioedema ACE inhibitor urgent airway worry",exam-prep,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why methotrexate needs folate and LFT monitoring?","why-methotrexate-needs-folate-and-lft-monitoring-5","Why methotrexate needs folate and LFT monitoring",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How gout crystals inflame a joint overnight?","how-gout-crystals-inflame-a-joint-overnight-6","How gout crystals inflame a joint overnight",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes serum sickness after some drug exposures?","what-causes-serum-sickness-after-some-drug-exposures-7","What causes serum sickness after some drug exposures",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why transplant patients mask infection with steroids onboard?","why-transplant-patients-mask-infection-with-steroids-onboard-8","Why transplant patients mask infection with steroids onboard",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How RA erosions differ from OA wear patterns clinically?","how-ra-erosions-differ-from-oa-wear-patterns-clinically-9","How RA erosions differ from OA wear patterns clinically",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between allergy side effect and anaphylaxis speed?","difference-between-allergy-side-effect-and-anaphylaxis-speed-10","Difference between allergy side effect and anaphylaxis speed",informational,Global,RN,"immune-rheum-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How vancomycin red man syndrome differs from true allergy NCLEX?","how-vancomycin-red-man-syndrome-differs-from-true-allergy-nclex","How vancomycin red man syndrome differs from true allergy NCLEX",exam-prep,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why penicillin cross-reactivity with cephalosporins is nuanced?","why-penicillin-cross-reactivity-with-cephalosporins-is-nuanced-2","Why penicillin cross-reactivity with cephalosporins is nuanced",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes C diff after clindamycin and broad spectrum hits?","what-causes-c-diff-after-clindamycin-and-broad-spectrum-hits-3","What causes C diff after clindamycin and broad spectrum hits",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX peak and trough timing for aminoglycoside toxicity watch?","nclex-peak-and-trough-timing-for-aminoglycoside-toxicity-watch-4","NCLEX peak and trough timing for aminoglycoside toxicity watch",exam-prep,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How linezolid raises serotonin risk with certain antidepressants?","how-linezolid-raises-serotonin-risk-with-certain-antidepressants-5","How linezolid raises serotonin risk with certain antidepressants",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why macrolides prolong QT nursing monitor pairs?","why-macrolides-prolong-qt-nursing-monitor-pairs-6","Why macrolides prolong QT nursing monitor pairs",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
