slug	word_count	seo_title_len	seo_desc_len	canonical_ok	internal_link_count	title
home-health-new-grad-solo-visit-safety-and-communication-backup	3598	57	153	yes	12	Home Health New Graduate Safety: Solo Visits, Communication Backup, and Environmental Scanning
dialysis-new-grad-access-assessment-and-fluid-shift-thinking	3560	53	153	yes	12	Dialysis New Graduate Orientation: Access Assessment, Fluid Shifts, and Hypotension Patterns
new-grad-nurse-bullying-bystander-skills-and-professional-anchors	3602	54	153	yes	12	Workplace Incivility: Bystander Skills and Professional Anchors for New Graduate Nurses
new-grad-nurse-wellness-micro-habits-and-compassion-fatigue-guardrails	3524	55	153	yes	12	Compassion Fatigue Guardrails: Micro-Habits New Graduate Nurses Can Sustain on Heavy Units
new-grad-nurse-ethical-uncertainty-and-chain-of-command-use	3571	57	153	yes	12	Ethical Uncertainty and Chain of Command: New Graduate Nurses Navigating Gray-Zone Decisions
new-grad-nursing-first-shift-organization-medical-surgical-transition-longtail	3506	53	153	yes	12	First-shift organization for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-stepdown-transition-longtail	3517	53	153	yes	12	First-shift organization for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-telemetry-transition-longtail	3500	53	153	yes	12	First-shift organization for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-emergency-department-transition-longtail	3530	53	153	yes	12	First-shift organization for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-intensive-care-transition-longtail	3538	53	153	yes	12	First-shift organization for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-postpartum-transition-longtail	3589	53	153	yes	12	First-shift organization for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-pediatrics-transition-longtail	3486	53	153	yes	12	First-shift organization for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-oncology-transition-longtail	3494	53	153	yes	12	First-shift organization for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-orthopedics-transition-longtail	3532	53	153	yes	12	First-shift organization for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-neurology-and-stroke-care-transition-longtail	3558	53	153	yes	12	First-shift organization for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-gastroenterology-transition-longtail	3513	53	153	yes	12	First-shift organization for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-renal-and-nephrology-transition-longtail	3529	53	153	yes	12	First-shift organization for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-cardiac-care-transition-longtail	3549	53	153	yes	12	First-shift organization for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-pulmonary-care-transition-longtail	3562	53	153	yes	12	First-shift organization for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-community-health-transition-longtail	3516	53	153	yes	12	First-shift organization for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-home-health-transition-longtail	3529	53	153	yes	12	First-shift organization for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-inpatient-rehabilitation-transition-longtail	3532	53	153	yes	12	First-shift organization for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-psychiatric-inpatient-transition-longtail	3510	53	153	yes	12	First-shift organization for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-perioperative-transition-longtail	3484	53	153	yes	12	First-shift organization for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-first-shift-organization-dialysis-transition-longtail	3578	53	153	yes	12	First-shift organization for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-medical-surgical-transition-longtail	3572	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-stepdown-transition-longtail	3528	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-telemetry-transition-longtail	3514	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-emergency-department-transition-longtail	3635	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-intensive-care-transition-longtail	3640	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-postpartum-transition-longtail	3607	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-pediatrics-transition-longtail	3554	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-oncology-transition-longtail	3565	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-orthopedics-transition-longtail	3561	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-neurology-and-stroke-care-transition-longtail	3567	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-gastroenterology-transition-longtail	3520	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-renal-and-nephrology-transition-longtail	3566	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-cardiac-care-transition-longtail	3609	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-pulmonary-care-transition-longtail	3513	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-community-health-transition-longtail	3528	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-home-health-transition-longtail	3612	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-inpatient-rehabilitation-transition-longtail	3588	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-psychiatric-inpatient-transition-longtail	3609	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-perioperative-transition-longtail	3540	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-sbar-bedside-reporting-dialysis-transition-longtail	3582	51	153	yes	12	SBAR bedside reporting for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-medical-surgical-transition-longtail	3581	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-stepdown-transition-longtail	3629	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-telemetry-transition-longtail	3591	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-emergency-department-transition-longtail	3599	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-intensive-care-transition-longtail	3550	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-postpartum-transition-longtail	3573	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-pediatrics-transition-longtail	3623	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-oncology-transition-longtail	3561	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-orthopedics-transition-longtail	3531	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-neurology-and-stroke-care-transition-longtail	3562	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-gastroenterology-transition-longtail	3585	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-renal-and-nephrology-transition-longtail	3599	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-cardiac-care-transition-longtail	3561	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-pulmonary-care-transition-longtail	3575	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-community-health-transition-longtail	3561	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-home-health-transition-longtail	3556	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-inpatient-rehabilitation-transition-longtail	3538	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-psychiatric-inpatient-transition-longtail	3569	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-perioperative-transition-longtail	3567	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-time-blocking-around-med-passes-dialysis-transition-longtail	3570	51	153	yes	12	Time-blocking around med passes for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-medical-surgical-transition-longtail	3576	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-stepdown-transition-longtail	3550	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-telemetry-transition-longtail	3566	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-emergency-department-transition-longtail	3638	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-intensive-care-transition-longtail	3581	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-postpartum-transition-longtail	3563	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-pediatrics-transition-longtail	3570	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-oncology-transition-longtail	3567	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-orthopedics-transition-longtail	3554	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-neurology-and-stroke-care-transition-longtail	3521	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-gastroenterology-transition-longtail	3602	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-renal-and-nephrology-transition-longtail	3572	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-cardiac-care-transition-longtail	3592	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-pulmonary-care-transition-longtail	3566	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-community-health-transition-longtail	3530	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-home-health-transition-longtail	3562	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-inpatient-rehabilitation-transition-longtail	3547	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-psychiatric-inpatient-transition-longtail	3586	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-perioperative-transition-longtail	3533	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-abc-versus-maslow-prioritization-dialysis-transition-longtail	3567	52	153	yes	12	ABC versus Maslow prioritization for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-medical-surgical-transition-longtail	3561	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-stepdown-transition-longtail	3546	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-telemetry-transition-longtail	3560	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-emergency-department-transition-longtail	3561	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-intensive-care-transition-longtail	3553	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-postpartum-transition-longtail	3604	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-pediatrics-transition-longtail	3585	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-oncology-transition-longtail	3558	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-orthopedics-transition-longtail	3500	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-neurology-and-stroke-care-transition-longtail	3608	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-gastroenterology-transition-longtail	3529	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-renal-and-nephrology-transition-longtail	3573	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-cardiac-care-transition-longtail	3548	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-pulmonary-care-transition-longtail	3507	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-community-health-transition-longtail	3571	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-home-health-transition-longtail	3517	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-inpatient-rehabilitation-transition-longtail	3556	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-psychiatric-inpatient-transition-longtail	3510	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-perioperative-transition-longtail	3567	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-delegation-within-legal-scope-dialysis-transition-longtail	3545	49	153	yes	12	Delegation within legal scope for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-medical-surgical-transition-longtail	3530	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-stepdown-transition-longtail	3561	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-telemetry-transition-longtail	3543	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-emergency-department-transition-longtail	3563	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-intensive-care-transition-longtail	3546	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-postpartum-transition-longtail	3484	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-pediatrics-transition-longtail	3602	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-oncology-transition-longtail	3530	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-orthopedics-transition-longtail	3550	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-neurology-and-stroke-care-transition-longtail	3543	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-gastroenterology-transition-longtail	3583	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in gastroenterology: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-renal-and-nephrology-transition-longtail	3530	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in renal and nephrology: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-cardiac-care-transition-longtail	3548	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in cardiac care: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-pulmonary-care-transition-longtail	3566	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in pulmonary care: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-community-health-transition-longtail	3577	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in community health: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-home-health-transition-longtail	3538	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in home health: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-inpatient-rehabilitation-transition-longtail	3513	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in inpatient rehabilitation: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-psychiatric-inpatient-transition-longtail	3563	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in psychiatric inpatient: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-perioperative-transition-longtail	3557	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in perioperative: Transition-to-Practice Long-Tail Review
new-grad-nursing-early-recognition-of-deterioration-dialysis-transition-longtail	3558	54	153	yes	12	Early recognition of deterioration for New Graduate Nurses in dialysis: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-medical-surgical-transition-longtail	3561	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in medical-surgical: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-stepdown-transition-longtail	3572	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in stepdown: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-telemetry-transition-longtail	3566	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in telemetry: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-emergency-department-transition-longtail	3565	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in emergency department: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-intensive-care-transition-longtail	3547	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in intensive care: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-postpartum-transition-longtail	3633	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in postpartum: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-pediatrics-transition-longtail	3581	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in pediatrics: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-oncology-transition-longtail	3572	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in oncology: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-orthopedics-transition-longtail	3541	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in orthopedics: Transition-to-Practice Long-Tail Review
new-grad-nursing-respectful-clinical-inquiry-neurology-and-stroke-care-transition-longtail	3626	56	153	yes	12	Respectful clinical inquiry for New Graduate Nurses in neurology and stroke care: Transition-to-Practice Long-Tail Review
