slug,word_count,title
"rex-pn-rpn-anemia-fatigue-teaching-canada-clinical-judgment-priorities",2172,"""Anemia-related fatigue, iron teaching, and functional assessment: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-delegation-ucp-canada",2189,"""Anemia-related fatigue, iron teaching, and functional assessment: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-documentation-exam-focus",2183,"""Anemia-related fatigue, iron teaching, and functional assessment: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-home-community-nursing-canada",2187,"""Anemia-related fatigue, iron teaching, and functional assessment: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-ipac-routine-practices-canada",2185,"""Anemia-related fatigue, iron teaching, and functional assessment: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-ltc-ontario-shift-realities",2193,"""Anemia-related fatigue, iron teaching, and functional assessment: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-medication-safety-mar-canada",2200,"""Anemia-related fatigue, iron teaching, and functional assessment: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-patient-teaching-health-literacy",2191,"""Anemia-related fatigue, iron teaching, and functional assessment: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-rex-pn-ngn-item-thinking",2180,"""Anemia-related fatigue, iron teaching, and functional assessment: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-sbar-escalation-canada",2180,"""Anemia-related fatigue, iron teaching, and functional assessment: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-acute-med-surg-canada",2205,"""Anticoagulant teaching for warfarin and DOAC scenarios: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-clinical-judgment-priorities",2181,"""Anticoagulant teaching for warfarin and DOAC scenarios: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-delegation-ucp-canada",2204,"""Anticoagulant teaching for warfarin and DOAC scenarios: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-documentation-exam-focus",2187,"""Anticoagulant teaching for warfarin and DOAC scenarios: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-home-community-nursing-canada",2199,"""Anticoagulant teaching for warfarin and DOAC scenarios: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-ipac-routine-practices-canada",2197,"""Anticoagulant teaching for warfarin and DOAC scenarios: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-ltc-ontario-shift-realities",2207,"""Anticoagulant teaching for warfarin and DOAC scenarios: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-medication-safety-mar-canada",2199,"""Anticoagulant teaching for warfarin and DOAC scenarios: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-patient-teaching-health-literacy",2197,"""Anticoagulant teaching for warfarin and DOAC scenarios: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-rex-pn-ngn-item-thinking",2194,"""Anticoagulant teaching for warfarin and DOAC scenarios: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anticoagulant-teaching-warfarin-doac-canada-sbar-escalation-canada",2192,"""Anticoagulant teaching for warfarin and DOAC scenarios: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-acute-med-surg-canada",2199,"""Clostridioides difficile precautions and Canadian IPAC language: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-clinical-judgment-priorities",2181,"""Clostridioides difficile precautions and Canadian IPAC language: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-delegation-ucp-canada",2193,"""Clostridioides difficile precautions and Canadian IPAC language: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-documentation-exam-focus",2184,"""Clostridioides difficile precautions and Canadian IPAC language: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-home-community-nursing-canada",2192,"""Clostridioides difficile precautions and Canadian IPAC language: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-ipac-routine-practices-canada",2192,"""Clostridioides difficile precautions and Canadian IPAC language: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-ltc-ontario-shift-realities",2206,"""Clostridioides difficile precautions and Canadian IPAC language: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-medication-safety-mar-canada",2201,"""Clostridioides difficile precautions and Canadian IPAC language: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-patient-teaching-health-literacy",2197,"""Clostridioides difficile precautions and Canadian IPAC language: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-rex-pn-ngn-item-thinking",2188,"""Clostridioides difficile precautions and Canadian IPAC language: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-c-diff-precautions-ipac-canada-sbar-escalation-canada",2189,"""Clostridioides difficile precautions and Canadian IPAC language: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-acute-med-surg-canada",2212,"""CBC basics practical nurses use for escalation and teaching: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-clinical-judgment-priorities",2199,"""CBC basics practical nurses use for escalation and teaching: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-delegation-ucp-canada",2216,"""CBC basics practical nurses use for escalation and teaching: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-documentation-exam-focus",2203,"""CBC basics practical nurses use for escalation and teaching: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-home-community-nursing-canada",2211,"""CBC basics practical nurses use for escalation and teaching: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-ipac-routine-practices-canada",2206,"""CBC basics practical nurses use for escalation and teaching: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-ltc-ontario-shift-realities",2221,"""CBC basics practical nurses use for escalation and teaching: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-medication-safety-mar-canada",2224,"""CBC basics practical nurses use for escalation and teaching: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-patient-teaching-health-literacy",2217,"""CBC basics practical nurses use for escalation and teaching: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-rex-pn-ngn-item-thinking",2208,"""CBC basics practical nurses use for escalation and teaching: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-cbc-basics-rpn-canada-sbar-escalation-canada",2206,"""CBC basics practical nurses use for escalation and teaching: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-acute-med-surg-canada",2224,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-clinical-judgment-priorities",2215,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-delegation-ucp-canada",2213,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-documentation-exam-focus",2217,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-home-community-nursing-canada",2224,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-ipac-routine-practices-canada",2219,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-ltc-ontario-shift-realities",2224,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-medication-safety-mar-canada",2223,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-patient-teaching-health-literacy",2215,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-rex-pn-ngn-item-thinking",2223,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-ckd-fluid-balance-labs-rpn-canada-sbar-escalation-canada",2216,"""Chronic kidney disease fluid balance, diet teaching, and lab trends: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-acute-med-surg-canada",2187,"""Consent, capacity, and substitute decision-making language: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-clinical-judgment-priorities",2177,"""Consent, capacity, and substitute decision-making language: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-delegation-ucp-canada",2184,"""Consent, capacity, and substitute decision-making language: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-documentation-exam-focus",2181,"""Consent, capacity, and substitute decision-making language: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-home-community-nursing-canada",2191,"""Consent, capacity, and substitute decision-making language: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-ipac-routine-practices-canada",2183,"""Consent, capacity, and substitute decision-making language: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-ltc-ontario-shift-realities",2190,"""Consent, capacity, and substitute decision-making language: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-medication-safety-mar-canada",2194,"""Consent, capacity, and substitute decision-making language: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-patient-teaching-health-literacy",2185,"""Consent, capacity, and substitute decision-making language: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-rex-pn-ngn-item-thinking",2185,"""Consent, capacity, and substitute decision-making language: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-consent-capacity-ontario-style-canada-sbar-escalation-canada",2188,"""Consent, capacity, and substitute decision-making language: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-acute-med-surg-canada",2211,"""COPD, oxygen safety, and Canadian home oxygen teaching: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-clinical-judgment-priorities",2205,"""COPD, oxygen safety, and Canadian home oxygen teaching: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-delegation-ucp-canada",2211,"""COPD, oxygen safety, and Canadian home oxygen teaching: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-documentation-exam-focus",2205,"""COPD, oxygen safety, and Canadian home oxygen teaching: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-home-community-nursing-canada",2213,"""COPD, oxygen safety, and Canadian home oxygen teaching: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-ipac-routine-practices-canada",2210,"""COPD, oxygen safety, and Canadian home oxygen teaching: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-ltc-ontario-shift-realities",2218,"""COPD, oxygen safety, and Canadian home oxygen teaching: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-medication-safety-mar-canada",2219,"""COPD, oxygen safety, and Canadian home oxygen teaching: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-patient-teaching-health-literacy",2206,"""COPD, oxygen safety, and Canadian home oxygen teaching: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-rex-pn-ngn-item-thinking",2212,"""COPD, oxygen safety, and Canadian home oxygen teaching: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-copd-oxygen-safety-canada-sbar-escalation-canada",2207,"""COPD, oxygen safety, and Canadian home oxygen teaching: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-acute-med-surg-canada",2188,"""Delirium versus dementia cues for practical nurses: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-clinical-judgment-priorities",2179,"""Delirium versus dementia cues for practical nurses: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-delegation-ucp-canada",2181,"""Delirium versus dementia cues for practical nurses: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-documentation-exam-focus",2183,"""Delirium versus dementia cues for practical nurses: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-home-community-nursing-canada",2186,"""Delirium versus dementia cues for practical nurses: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-ipac-routine-practices-canada",2181,"""Delirium versus dementia cues for practical nurses: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-ltc-ontario-shift-realities",2192,"""Delirium versus dementia cues for practical nurses: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-medication-safety-mar-canada",2192,"""Delirium versus dementia cues for practical nurses: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-patient-teaching-health-literacy",2182,"""Delirium versus dementia cues for practical nurses: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-rex-pn-ngn-item-thinking",2183,"""Delirium versus dementia cues for practical nurses: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-delirium-vs-dementia-rpn-canada-sbar-escalation-canada",2185,"""Delirium versus dementia cues for practical nurses: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-acute-med-surg-canada",2218,"""Diabetes foot screening and teaching for PN practice: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-clinical-judgment-priorities",2211,"""Diabetes foot screening and teaching for PN practice: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-delegation-ucp-canada",2222,"""Diabetes foot screening and teaching for PN practice: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-documentation-exam-focus",2216,"""Diabetes foot screening and teaching for PN practice: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-home-community-nursing-canada",2220,"""Diabetes foot screening and teaching for PN practice: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-ipac-routine-practices-canada",2214,"""Diabetes foot screening and teaching for PN practice: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-ltc-ontario-shift-realities",2225,"""Diabetes foot screening and teaching for PN practice: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-medication-safety-mar-canada",2222,"""Diabetes foot screening and teaching for PN practice: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-patient-teaching-health-literacy",2217,"""Diabetes foot screening and teaching for PN practice: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-rex-pn-ngn-item-thinking",2218,"""Diabetes foot screening and teaching for PN practice: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-diabetes-foot-screening-rpn-canada-sbar-escalation-canada",2216,"""Diabetes foot screening and teaching for PN practice: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-acute-med-surg-canada",2195,"""Dysphagia, thickened fluids, and aspiration risk reduction: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-clinical-judgment-priorities",2178,"""Dysphagia, thickened fluids, and aspiration risk reduction: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-delegation-ucp-canada",2193,"""Dysphagia, thickened fluids, and aspiration risk reduction: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-documentation-exam-focus",2180,"""Dysphagia, thickened fluids, and aspiration risk reduction: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-home-community-nursing-canada",2189,"""Dysphagia, thickened fluids, and aspiration risk reduction: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-ipac-routine-practices-canada",2187,"""Dysphagia, thickened fluids, and aspiration risk reduction: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-ltc-ontario-shift-realities",2195,"""Dysphagia, thickened fluids, and aspiration risk reduction: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-medication-safety-mar-canada",2200,"""Dysphagia, thickened fluids, and aspiration risk reduction: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-patient-teaching-health-literacy",2193,"""Dysphagia, thickened fluids, and aspiration risk reduction: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-rex-pn-ngn-item-thinking",2187,"""Dysphagia, thickened fluids, and aspiration risk reduction: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-dysphagia-thickened-fluids-rpn-canada-sbar-escalation-canada",2185,"""Dysphagia, thickened fluids, and aspiration risk reduction: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-acute-med-surg-canada",2193,"""Falls risk, Morse/Baden scales, and shift safety: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-clinical-judgment-priorities",2184,"""Falls risk, Morse/Baden scales, and shift safety: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-delegation-ucp-canada",2195,"""Falls risk, Morse/Baden scales, and shift safety: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-documentation-exam-focus",2194,"""Falls risk, Morse/Baden scales, and shift safety: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-home-community-nursing-canada",2200,"""Falls risk, Morse/Baden scales, and shift safety: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-ipac-routine-practices-canada",2194,"""Falls risk, Morse/Baden scales, and shift safety: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-ltc-ontario-shift-realities",2195,"""Falls risk, Morse/Baden scales, and shift safety: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-medication-safety-mar-canada",2200,"""Falls risk, Morse/Baden scales, and shift safety: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-patient-teaching-health-literacy",2193,"""Falls risk, Morse/Baden scales, and shift safety: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-rex-pn-ngn-item-thinking",2198,"""Falls risk, Morse/Baden scales, and shift safety: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-falls-risk-braden-morse-canada-sbar-escalation-canada",2197,"""Falls risk, Morse/Baden scales, and shift safety: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-hand-hygiene-five-moments-canada-acute-med-surg-canada",2228,"""Hand hygiene, moments, and audit language used in Canadian facilities: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-hand-hygiene-five-moments-canada-clinical-judgment-priorities",2216,"""Hand hygiene, moments, and audit language used in Canadian facilities: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
