"Route","File","Payload Risk Class","Risk Score","File Bytes","Line Count","Reasons","Heavy Fields","Protections","Recommendations"
"/api/admin/ai/flashcards/generate","src/app/api/admin/ai/flashcards/generate/route.ts","100KB+","7","6640","188","","body/content (5); flashcard back/pearls (3)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/localized","src/app/api/admin/blog/localized/route.ts","100KB+","7","6111","149","","body/content (5); localized full text (3)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/batch-chunk","src/app/api/admin/blog/batch-chunk/route.ts","100KB+","7","3773","124","","body/content (3); questionIds/full pools (7)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/community-stats/:flashcardId","src/app/api/flashcards/community-stats/[flashcardId]/route.ts","100KB+","7","3347","90","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (1)","1 select shape(s)","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/pricing/options","src/app/api/pricing/options/route.ts","100KB+","7","2363","64","","options (3); body/content (6)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/media/batch-scan","src/app/api/admin/media/batch-scan/route.ts","100KB+","7","2176","73","1 findMany call(s)","body/content (4); images/media (2)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/printables/:id/analytics","src/app/api/admin/printables/[id]/analytics/route.ts","100KB+","7","2166","54","2 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","3 select shape(s); pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/learner/notes/recent","src/app/api/learner/notes/recent/route.ts","100KB+","7","1954","55","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (1)","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/subscriptions/checkout","src/app/api/subscriptions/checkout/route.ts","100KB+","6","27517","658","","body/content (2); questionIds/full pools (1); flashcard back/pearls (3)","4 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/marketing-assets/:...path","src/app/api/marketing-assets/[...path]/route.ts","100KB+","6","6172","164","","body/content (3); images/media (3)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/pre-nursing-progress","src/app/api/learner/pre-nursing-progress/route.ts","100KB+","6","6009","158","2 findMany call(s)","body/content (4)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/exam-questions/drafts/:id/regenerate-section","src/app/api/admin/ai/exam-questions/drafts/[id]/regenerate-section/route.ts","100KB+","6","5976","176","","rationale (1); options (1); body/content (8)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/cases/cnple/:sessionId/review","src/app/api/cases/cnple/[sessionId]/review/route.ts","100KB+","6","3024","80","","rationale (3); options (2); body/content (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/jobs","src/app/api/admin/jobs/route.ts","100KB+","6","2790","90","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/modules/ecg-pediatric/cases/:id/attempt","src/app/api/modules/ecg-pediatric/cases/[id]/attempt/route.ts","100KB+","6","2597","76","","options (3); body/content (3)","","Verify measured payload in live audit and keep response under 100KB."
"/api/verified-study/ai/draft-cards","src/app/api/verified-study/ai/draft-cards/route.ts","100KB+","6","2171","55","","rationale (1); body/content (5); flashcard back/pearls (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/printables","src/app/api/printables/route.ts","100KB+","6","1826","56","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/verified-study/cards/:cardId","src/app/api/verified-study/cards/[cardId]/route.ts","100KB+","6","1707","46","","rationale (1); body/content (4); flashcard back/pearls (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/export/content","src/app/api/admin/export/content/route.ts","100KB+","6","1226","44","1 findMany call(s); large text/json fields explicitly selected","rationale (1)","1 select shape(s); bounded page size; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/ai/exam-questions/generate-batch/:jobId/step","src/app/api/admin/ai/exam-questions/generate-batch/[jobId]/step/route.ts","100KB+","5","20318","565","1 findMany call(s)","body/content (4)","6 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/campaigns/:id/run-chunk","src/app/api/admin/blog/campaigns/[id]/run-chunk/route.ts","100KB+","5","12838","323","1 findMany call(s)","body/content (9)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/inventory","src/app/api/flashcards/inventory/route.ts","100KB+","5","11211","299","","body/content (10); questionIds/full pools (1)","no JSON response detected","Verify measured payload in live audit and keep response under 100KB."
"/api/questions/discovery","src/app/api/questions/discovery/route.ts","100KB+","5","10419","233","","body/content (6); questionIds/full pools (1)","payload-size instrumentation","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/exam-questions/generate","src/app/api/admin/ai/exam-questions/generate/route.ts","100KB+","5","10243","304","1 findMany call(s)","body/content (7)","4 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-labs","src/app/api/subscriptions/checkout/advanced-labs/route.ts","100KB+","5","9764","290","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/lessons","src/app/api/admin/lessons/route.ts","100KB+","5","9603","261","1 findMany call(s)","body/content (19)","2 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/critical-care-bundle","src/app/api/subscriptions/checkout/critical-care-bundle/route.ts","100KB+","5","9501","216","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-hemodynamics","src/app/api/subscriptions/checkout/advanced-hemodynamics/route.ts","100KB+","5","8800","203","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-ecg","src/app/api/subscriptions/checkout/advanced-ecg/route.ts","100KB+","5","8583","214","1 findMany call(s)","body/content (7)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/decks","src/app/api/flashcards/decks/route.ts","100KB+","5","7321","207","1 findMany call(s)","body/content (6)","3 select shape(s); jsonResponseGuarded hard cap; payload-size instrumentation; bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/coach","src/app/api/coach/route.ts","100KB+","5","6116","201","","rationale (1); body/content (7)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/monitor-session-reports","src/app/api/learner/monitor-session-reports/route.ts","100KB+","5","5958","168","1 findMany call(s)","body/content (6)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/demo-users","src/app/api/admin/demo-users/route.ts","100KB+","5","5410","202","1 findMany call(s)","body/content (10)","2 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/practice-tests/:id/cat-study-review","src/app/api/practice-tests/[id]/cat-study-review/route.ts","100KB+","5","5181","136","large ID array or pool state may be serialized","body/content (1); questionIds/full pools (1)","pagination/cursor parameters","Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/blog/campaigns","src/app/api/admin/blog/campaigns/route.ts","100KB+","5","4848","128","1 findMany call(s); include-heavy Prisma response shape detected","","3 select shape(s); 1 include shape(s) to review; pagination/cursor parameters","Replace include-heavy reads with route-specific select shapes."
"/api/beta/feedback","src/app/api/beta/feedback/route.ts","100KB+","5","2977","68","","options (1); body/content (10)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/batch-schedule/:id","src/app/api/admin/blog/batch-schedule/[id]/route.ts","100KB+","5","2772","100","include-heavy Prisma response shape detected","body/content (1)","4 select shape(s); 2 include shape(s) to review; pagination/cursor parameters","Replace include-heavy reads with route-specific select shapes."
"/api/flashcards/options/:flashcardId/select","src/app/api/flashcards/options/[flashcardId]/select/route.ts","100KB+","5","2477","59","","options (3); body/content (2)","","Verify measured payload in live audit and keep response under 100KB."
"/api/beta/activity","src/app/api/beta/activity/route.ts","100KB+","5","2035","51","","options (1); body/content (9)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/pathway-lessons/lookup","src/app/api/admin/pathway-lessons/lookup/route.ts","100KB+","5","1317","31","","body/content (3); sections (2)","","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/custom-session","src/app/api/flashcards/custom-session/route.ts","100KB+","4","19719","478","","body/content (7)","","Verify measured payload in live audit and keep response under 100KB."
"/api/cron/monitoring-synthetic","src/app/api/cron/monitoring-synthetic/route.ts","100KB+","4","10368","287","","options (1); body/content (3)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/exam-plan","src/app/api/learner/exam-plan/route.ts","100KB+","4","9661","267","","body/content (8)","1 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/lessons/:id","src/app/api/admin/lessons/[id]/route.ts","100KB+","4","9553","235","","body/content (28)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/webhook","src/app/api/subscriptions/webhook/route.ts","100KB+","4","9378","252","","body/content (4)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/personal-profile","src/app/api/learner/personal-profile/route.ts","100KB+","4","8099","194","","body/content (37)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/pre-nursing-plan","src/app/api/learner/pre-nursing-plan/route.ts","100KB+","4","8028","212","","body/content (8)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/users/:userId/ops","src/app/api/admin/users/[userId]/ops/route.ts","100KB+","4","7561","218","","body/content (8)","4 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/linking/inspect","src/app/api/admin/linking/inspect/route.ts","100KB+","4","5832","182","","body/content (12)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/blog/import","src/app/api/blog/import/route.ts","100KB+","4","5068","165","","body/content (6)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/content-bulk/enqueue","src/app/api/admin/content-bulk/enqueue/route.ts","100KB+","4","4973","151","","body/content (15)","","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/remediation-signal","src/app/api/flashcards/remediation-signal/route.ts","100KB+","4","4692","125","","body/content (14)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/account-lifecycle","src/app/api/admin/account-lifecycle/route.ts","100KB+","4","4485","130","","body/content (6)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/lessons/ai-drafts/:id/promote","src/app/api/admin/lessons/ai-drafts/[id]/promote/route.ts","100KB+","4","4441","120","","body/content (9)","","Verify measured payload in live audit and keep response under 100KB."
"/api/remediation/capture","src/app/api/remediation/capture/route.ts","100KB+","4","4416","115","","body/content (10)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/study-budget","src/app/api/learner/study-budget/route.ts","100KB+","4","4380","120","","body/content (8)","1 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/inbound-email","src/app/api/inbound-email/route.ts","100KB+","4","4360","92","","body/content (5)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/health/e2e-account-probe","src/app/api/health/e2e-account-probe/route.ts","100KB+","4","4342","133","","body/content (8)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/ai/study-plan/generate","src/app/api/ai/study-plan/generate/route.ts","100KB+","4","4340","118","","body/content (4)","","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/notebook","src/app/api/learner/notebook/route.ts","100KB+","4","3992","108","","body/content (9)","1 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
