lesson_title,slug,tier_group,subgroup,profession_tier_pathway,source,status,notes,recommended_action
"Dialysis Diet Teaching (REx-PN / PN, Canada)",dialysis-diet-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Diuretic teaching & orthostasis — REx-PN (Canada),bp26-carpn-x013-diuretic-teaching-orthostasis,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"DKA & HHS: recognition & safety (REx-PN, Canada)",dka-hhs-hyperglycemic-emergencies-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Documentation Do-Nots (REx-PN / PN, Canada)",documentation-do-nots,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Dysrhythmias (REx-PN / PN, Canada)",ca-rpn-dysrhythmias,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Edema & Daily Weights (REx-PN / PN, Canada)",edema-daily-weights,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Electrolyte & fluid emergencies (REx-PN, Canada)",fluids-electrolytes-emergencies-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Electrolyte crisis case study (REx-PN, Canada)",clinical-casebook-electrolyte-crisis-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Emergency response medications (REx-PN, Canada)",med-family-emergency-response-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Escalation & when to notify (REx-PN, Canada)",safety-family-escalation-notification-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Falls & injury prevention (REx-PN, Canada)",falls-injury-prevention-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Falls prevention & safety (REx-PN, Canada)",safety-family-falls-prevention-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Falls Risk & Side Rails Policy (REx-PN / PN, Canada)",falls-risk-side-rails-policy,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Fingerstick & Hypoglycemia Response (REx-PN / PN, Canada)",fingerstick-hypoglycemia-response,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Fire safety & evacuation roles — REx-PN (Canada),bp26-carpn-sf-fire-evac-chair,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Fluid deficit vs excess (REx-PN / PN, Canada)",ca-rpn-fluid-balance,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Fluid restriction teaching — REx-PN (Canada),bp26-carpn-x011-fluid-restriction-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Foot Inspection Teaching (REx-PN / PN, Canada)",foot-inspection-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"General nursing clinical judgment (REx-PN / PN, Canada)",ca-rpn-general-nursing-clinical,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Glucose emergency case study (REx-PN, Canada)",clinical-casebook-glucose-dka-hypoglycemia-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Growth Chart Basics (REx-PN / PN, Canada)",growth-chart-basics,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Heart failure (REx-PN / PN, Canada)",ca-rpn-heart-failure,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Heart failure discharge teaching — REx-PN (Canada),bp26-carpn-x003-heart-failure-discharge-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Heart Failure Monitoring (REx-PN / PN, Canada)",heart-failure-monitoring,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
High-alert medications: double checks — REx-PN (Canada),bp26-carpn-ph-high-alert-rounds,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"High-alert meds: insulin, anticoagulants, opioids (REx-PN, Canada)",high-alert-medications-safety-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Home oxygen teaching — REx-PN (Canada),bp26-carpn-x007-home-oxygen-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Hypertension (REx-PN / PN, Canada)",ca-rpn-hypertension,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Hypertension Teaching (REx-PN / PN, Canada)",hypertension-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Hypertensive urgency vs emergency cues — REx-PN (Canada),bp26-carpn-pa-htn-crisis,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Hypokalemia Symptoms (REx-PN / PN, Canada)",hypokalemia-symptoms,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"I&O & Fluid Restriction Teaching (REx-PN / PN, Canada)",i-o-fluid-restriction-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Immunization catch-up planning — REx-PN (Canada),bp26-carpn-x023-immunization-catch-up-planning,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Immunization Consent (REx-PN / PN, Canada)",immunization-consent,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Infection control (REx-PN / PN, Canada)",ca-rpn-infection-control,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Infection control & standard precautions (REx-PN, Canada)",safety-family-infection-control-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Inhaler Technique Teaching (REx-PN / PN, Canada)",inhaler-technique-teaching,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Insulin & diabetes medications (REx-PN, Canada)",med-family-insulin-diabetes-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Insulin & hypoglycemia (REx-PN / PN, Canada)",ca-rpn-insulin-hypoglycemia,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Insulin Administration Checks (REx-PN / PN, Canada)",insulin-administration-checks,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Isolation & transmission precautions (REx-PN, Canada)",safety-family-isolation-precautions-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Line identification & labeling — REx-PN (Canada),bp26-carpn-x026-line-identification-labeling,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Magnesium monitoring on replacement — REx-PN (Canada),bp26-carpn-x010-magnesium-monitoring-on-replacement,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
