productionPriority,priorityScore,lessonTitle,pathway,pathwayId,slug,cluster,productionCluster,currentImageStatus,backlogReason,whyImageryNeeded,recommendedImageType,recommendedFilename,suggestedAltText,educationalRationale,seoRationale,clinicalImportance,visualComplexity,visualNecessity,seoImportance,educationalValue,trafficPotential,suggestedImagePrompt,productionNotes,matchedInventoryFilename,fallbackSourceUsed,sharedVisualSystemId,duplicateGroupId
CRITICAL,95,Respiratory Acidosis,NCLEX-RN (United States),us-rn-nclex-rn,respiratory-acidosis-nursing-nclex,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Respiratory). Visual reinforcement improves retention.,clinical_illustration,respiratory-acidosis.webp,Respiratory Acidosis — clinical illustration,Visual necessity 43/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""respiratory-acidosis-nursing-nclex"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,44,43,68,44,58,"Premium NurseNest clinical education illustration for ""Respiratory Acidosis"". Type: clinical illustration. Cluster: Respiratory. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,95,Respiratory Alkalosis,NCLEX-RN (United States),us-rn-nclex-rn,respiratory-alkalosis-nursing-nclex,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Respiratory). Visual reinforcement improves retention.,clinical_illustration,respiratory-alkalosis.webp,Respiratory Alkalosis — clinical illustration,Visual necessity 43/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""respiratory-alkalosis-nursing-nclex"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,44,43,68,44,58,"Premium NurseNest clinical education illustration for ""Respiratory Alkalosis"". Type: clinical illustration. Cluster: Respiratory. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,86,Advanced ABG Interpretation,NCLEX-RN (United States),us-rn-nclex-rn,abg-compensation-patterns-advanced-nclex,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Respiratory). Visual reinforcement improves retention.,lab_interpretation_chart,advanced-abg-interpretation.webp,Advanced ABG Interpretation — clinical illustration,Visual necessity 53/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""abg-compensation-patterns-advanced-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,44,53,40,47,34,"Premium NurseNest clinical education illustration for ""Advanced ABG Interpretation"". Type: lab interpretation chart. Cluster: Respiratory. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,abg_interpretation,dup-0015
CRITICAL,86,ABG Interpretation: Clinical Integration,NCLEX-RN (United States),us-rn-nclex-rn,abg-interpretation-basics-hy,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Respiratory). Visual reinforcement improves retention.,lab_interpretation_chart,abg-interpretation-clinical-integration.webp,ABG Interpretation: Clinical Integration — clinical illustration,Visual necessity 53/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""abg-interpretation-basics-hy"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,44,53,40,47,34,"Premium NurseNest clinical education illustration for ""ABG Interpretation: Clinical Integration"". Type: lab interpretation chart. Cluster: Respiratory. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,abg_interpretation,dup-0015
CRITICAL,86,ARDS: Mechanical Ventilation,NCLEX-RN (United States),us-rn-nclex-rn,ards-ventilation-basics,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: nursing workflow (Respiratory). Visual reinforcement improves retention.,nursing_workflow,ards-mechanical-ventilation.webp,ARDS: Mechanical Ventilation — clinical illustration,Visual necessity 52/100 — nursing workflow reinforces mode/workflow diagram with safety checkpoints for bedside nurses. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""ards-ventilation-basics"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,44,52,40,46,34,"Premium NurseNest clinical education illustration for ""ARDS: Mechanical Ventilation"". Type: nursing workflow. Cluster: Respiratory. Mode/workflow diagram with safety checkpoints for bedside nurses. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Mode/workflow diagram with safety checkpoints for bedside nurses.,,,ventilation_workflow,dup-0022
CRITICAL,86,Burn Degrees,NCLEX-RN (United States),us-rn-nclex-rn,burn-depth-classification-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-degrees.webp,Burn Degrees — clinical illustration,Visual necessity 58/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-depth-classification-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,42,58,40,46,34,"Premium NurseNest clinical education illustration for ""Burn Degrees"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,86,Electrolytes and Nutrition,NCLEX-RN (United States),us-rn-nclex-rn,electrolytes-nutrition-sodium-potassium-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Other clinical). Visual reinforcement improves retention.,lab_interpretation_chart,electrolytes-and-nutrition.webp,Electrolytes and Nutrition — clinical illustration,Visual necessity 46/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 48/100; slug ""electrolytes-nutrition-sodium-potassium-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,41,46,48,42,41,"Premium NurseNest clinical education illustration for ""Electrolytes and Nutrition"". Type: lab interpretation chart. Cluster: Other clinical. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0002
CRITICAL,86,Pleural Effusion & Chest Tubes,NCLEX-RN (United States),us-rn-nclex-rn,pleural-effusion-chest-tubes,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Respiratory). Visual reinforcement improves retention.,clinical_illustration,pleural-effusion-chest-tubes.webp,Pleural Effusion & Chest Tubes — clinical illustration,Visual necessity 43/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 54/100; slug ""pleural-effusion-chest-tubes"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,54,37,46,"Premium NurseNest clinical education illustration for ""Pleural Effusion & Chest Tubes"". Type: clinical illustration. Cluster: Respiratory. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,84,Pulmonary Embolism: Recognition Clues,NCLEX-RN (United States),us-rn-nclex-rn,pulmonary-embolism-clues,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: infographic (Respiratory). Visual reinforcement improves retention.,infographic,pulmonary-embolism-recognition-clues.webp,Pulmonary Embolism: Recognition Clues — clinical illustration,Visual necessity 52/100 — infographic reinforces lung vascular infographic + clot pathway; soft mint background. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""pulmonary-embolism-clues"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,39,52,40,43,34,"Premium NurseNest clinical education illustration for ""Pulmonary Embolism: Recognition Clues"". Type: infographic. Cluster: Respiratory. Lung vascular infographic + clot pathway; soft mint background. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Lung vascular infographic + clot pathway; soft mint background.,,,lung_vascular_pe,dup-0023
CRITICAL,83,DKA vs HHS,NCLEX-RN (United States),us-rn-nclex-rn,dka-vs-hhs-priorities-hy,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,dka-vs-hhs.webp,DKA vs HHS — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""dka-vs-hhs-priorities-hy"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,37,49,40,41,34,"Premium NurseNest clinical education illustration for ""DKA vs HHS"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0018
CRITICAL,83,Migraine vs Stroke Red Flags,NCLEX-RN (United States),us-rn-nclex-rn,migraine-versus-stroke-red-flags-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,migraine-vs-stroke-red-flags.webp,Migraine vs Stroke Red Flags — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""migraine-versus-stroke-red-flags-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,37,49,40,41,34,"Premium NurseNest clinical education illustration for ""Migraine vs Stroke Red Flags"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0018
CRITICAL,83,Stroke,NCLEX-RN (United States),us-rn-nclex-rn,stroke-ischemic-vs-hemorrhagic-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,stroke.webp,Stroke — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""stroke-ischemic-vs-hemorrhagic-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,37,49,40,41,34,"Premium NurseNest clinical education illustration for ""Stroke"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0018
